,Country,Population,GDPperCap,GDPperOut
0,AUS,23504.14,57.74091198,0.498267774
1,IND,1293859.29,1.541370082,0.500640749
2,CHN,1364270.0,7.538086303,0.323955011
3,USA,318622.53,54.44708822,0.560138714
4,JPN,127276.0,34.86819982,0.511941436
